step,value
0.0,-21.237493989984774
1.0,-21.237493989984774
2.0,-21.237493989984774
3.0,-21.237493989984774
4.0,-21.237493989984774
5.0,-21.237493989984774
6.0,-21.237493989984774
7.0,-21.237493989984774
8.0,-21.237493989984774
9.0,-21.237493989984774
10.0,-21.237493989984774
11.0,-8.741679035455123
12.0,-8.741679035455123
13.0,-8.741679035455123
14.0,-8.741679035455123
15.0,-8.741679035455123
16.0,-8.741679035455123
17.0,-8.741679035455123
18.0,-8.741679035455123
19.0,-8.741679035455123
20.0,-8.741679035455123
21.0,-8.741679035455123
22.0,-8.741679035455123
23.0,-7.323826544242186
24.0,-6.980743052020207
25.0,-5.524535643389381
26.0,-3.7213296018627595
27.0,-3.7213296018627595
28.0,-3.7213296018627595
29.0,-3.4872341851677002
30.0,-3.4872341851677002
31.0,-3.4872341851677002
32.0,-3.4872341851677002
33.0,-3.4872341851677002
34.0,-3.4872341851677002
35.0,-3.4872341851677002
36.0,-3.4872341851677002
37.0,-3.4872341851677002
38.0,-3.4872341851677002
39.0,-3.4872341851677002
40.0,-3.4872341851677002
41.0,-3.4872341851677002
42.0,-3.4872341851677002
43.0,-3.4872341851677002
44.0,-3.4872341851677002
45.0,-3.4872341851677002
46.0,-3.4872341851677002
47.0,-3.4872341851677002
48.0,-3.4872341851677002
49.0,-3.4872341851677002
50.0,-1.4990903084608262
51.0,-1.4990903084608262
52.0,-1.4990903084608262
53.0,-1.4990903084608262
54.0,-1.4990903084608262
55.0,-0.7600364773755565
56.0,-0.7600364773755565
57.0,-0.7600364773755565
58.0,-0.7600364773755565
59.0,-0.7600364773755565
60.0,-0.7600364773755565
61.0,-0.7600364773755565
62.0,-0.7600364773755565
63.0,-0.7600364773755565
64.0,-0.7600364773755565
65.0,-0.7600364773755565
66.0,0.5633561325252692
67.0,0.5633561325252692
68.0,0.5633561325252692
69.0,0.5633561325252692
70.0,1.860158338515171
71.0,1.860158338515171
72.0,1.860158338515171
73.0,1.860158338515171
74.0,1.860158338515171
75.0,1.860158338515171
76.0,1.860158338515171
77.0,1.860158338515171
78.0,1.860158338515171
79.0,4.767457364884097
80.0,5.193488675180703
81.0,17.214901723047863
82.0,17.214901723047863
83.0,21.523956312860076
84.0,21.523956312860076
85.0,21.523956312860076
86.0,21.523956312860076
87.0,21.523956312860076
88.0,21.523956312860076
89.0,21.523956312860076
90.0,21.523956312860076
91.0,21.523956312860076
92.0,21.523956312860076
93.0,21.523956312860076
94.0,21.523956312860076
95.0,21.523956312860076
96.0,21.523956312860076
97.0,21.523956312860076
98.0,21.523956312860076
99.0,21.523956312860076
100.0,-13.691334172219008
101.0,-1.9304146457067524
102.0,-1.9304146457067524
103.0,-1.9304146457067524
104.0,3.8674410479363748
105.0,3.8674410479363748
106.0,3.8674410479363748
107.0,48.43764051499186
108.0,48.43764051499186
109.0,48.43764051499186
110.0,48.43764051499186
111.0,48.43764051499186
112.0,48.43764051499186
113.0,48.43764051499186
114.0,48.43764051499186
115.0,48.43764051499186
116.0,48.43764051499186
117.0,48.43764051499186
118.0,48.43764051499186
119.0,48.43764051499186
120.0,48.43764051499186
121.0,48.43764051499186
122.0,48.43764051499186
123.0,48.43764051499186
124.0,48.43764051499186
125.0,48.43764051499186
126.0,48.43764051499186
127.0,48.43764051499186
128.0,48.43764051499186
129.0,48.43764051499186
130.0,48.43764051499186
131.0,48.43764051499186
132.0,48.43764051499186
133.0,48.43764051499186
134.0,48.43764051499186
135.0,48.43764051499186
136.0,48.43764051499186
137.0,51.92914914402593
138.0,51.92914914402593
139.0,51.92914914402593
140.0,51.92914914402593
141.0,75.78073815574058
142.0,75.78073815574058
143.0,75.78073815574058
144.0,75.78073815574058
145.0,75.78073815574058
146.0,75.78073815574058
147.0,75.78073815574058
148.0,75.78073815574058
149.0,75.78073815574058
150.0,75.78073815574058
151.0,75.78073815574058
152.0,75.78073815574058
153.0,75.78073815574058
154.0,75.78073815574058
155.0,90.40341220264527
156.0,90.40341220264527
157.0,90.40341220264527
158.0,90.40341220264527
159.0,90.40341220264527
160.0,90.40341220264527
161.0,90.40341220264527
162.0,90.40341220264527
163.0,90.40341220264527
164.0,90.40341220264527
165.0,90.40341220264527
166.0,90.40341220264527
167.0,90.40341220264527
168.0,90.40341220264527
169.0,90.40341220264527
170.0,90.40341220264527
171.0,90.40341220264527
172.0,90.40341220264527
173.0,90.40341220264527
174.0,90.40341220264527
175.0,90.40341220264527
176.0,91.63049205710469
177.0,91.63049205710469
178.0,91.63049205710469
179.0,91.63049205710469
180.0,91.63049205710469
181.0,91.63049205710469
182.0,91.63049205710469
183.0,91.63049205710469
184.0,91.63049205710469
185.0,91.63049205710469
186.0,97.85997540859965
187.0,97.85997540859965
188.0,97.85997540859965
189.0,97.85997540859965
190.0,97.85997540859965
191.0,99.52360814107044
192.0,99.52360814107044
193.0,99.52360814107044
194.0,99.52360814107044
195.0,100.11536901846532
196.0,103.10149946715073
197.0,106.96251577520464
198.0,108.22634145463928
199.0,109.70446667149263
200.0,102.88275178732243
201.0,116.8505447067085
202.0,116.8505447067085
203.0,116.8505447067085
204.0,116.8505447067085
205.0,116.8505447067085
206.0,116.8505447067085
207.0,116.8505447067085
208.0,116.8505447067085
209.0,121.37010749681829
210.0,121.37010749681829
211.0,121.37010749681829
212.0,121.37010749681829
213.0,121.37010749681829
214.0,121.37010749681829
215.0,121.64731975964185
216.0,124.82222114537326
217.0,124.82222114537326
218.0,124.82222114537326
219.0,124.82222114537326
220.0,124.82222114537326
221.0,124.82222114537326
222.0,124.82222114537326
223.0,124.82222114537326
224.0,124.82222114537326
225.0,130.69134311938595
226.0,130.69134311938595
227.0,130.69134311938595
228.0,138.95968850297038
229.0,138.95968850297038
230.0,138.95968850297038
231.0,138.95968850297038
232.0,138.95968850297038
233.0,138.95968850297038
234.0,138.95968850297038
235.0,138.95968850297038
236.0,138.95968850297038
237.0,138.95968850297038
238.0,138.95968850297038
239.0,138.95968850297038
240.0,138.95968850297038
241.0,138.95968850297038
242.0,138.95968850297038
243.0,138.95968850297038
244.0,138.95968850297038
245.0,138.95968850297038
246.0,138.95968850297038
247.0,138.95968850297038
248.0,139.83751327369467
249.0,139.83751327369467
250.0,139.83751327369467
251.0,148.1878121227303
252.0,148.1878121227303
253.0,148.1878121227303
254.0,148.1878121227303
255.0,148.1878121227303
256.0,148.1878121227303
257.0,148.1878121227303
258.0,148.1878121227303
259.0,148.1878121227303
260.0,148.1878121227303
261.0,148.1878121227303
262.0,148.1878121227303
263.0,148.1878121227303
264.0,148.1878121227303
265.0,148.1878121227303
266.0,148.1878121227303
267.0,148.1878121227303
268.0,149.49428246497405
269.0,149.49428246497405
270.0,149.49428246497405
271.0,149.49428246497405
272.0,149.49428246497405
273.0,149.49428246497405
274.0,149.49428246497405
275.0,149.49428246497405
276.0,149.49428246497405
277.0,149.49428246497405
278.0,149.49428246497405
279.0,149.49428246497405
280.0,149.49428246497405
281.0,149.49428246497405
282.0,149.49428246497405
283.0,149.49428246497405
284.0,149.49428246497405
285.0,149.49428246497405
286.0,149.49428246497405
287.0,149.49428246497405
288.0,149.49428246497405
289.0,149.49428246497405
290.0,149.49428246497405
291.0,149.49428246497405
292.0,149.49428246497405
293.0,149.49428246497405
294.0,149.49428246497405
295.0,149.49428246497405
296.0,149.49428246497405
297.0,149.49428246497405
298.0,149.49428246497405
299.0,149.49428246497405
300.0,112.0180126055561
301.0,122.38248465713116
302.0,128.9204127402715
303.0,128.9204127402715
304.0,128.9204127402715
305.0,132.63241910533299
306.0,132.63241910533299
307.0,132.63241910533299
308.0,145.86988043637356
309.0,145.86988043637356
310.0,145.86988043637356
311.0,145.86988043637356
312.0,145.86988043637356
313.0,145.86988043637356
314.0,145.86988043637356
315.0,152.51343628518117
316.0,152.51343628518117
317.0,152.51343628518117
318.0,152.51343628518117
319.0,152.51343628518117
320.0,152.51343628518117
321.0,152.51343628518117
322.0,152.51343628518117
323.0,152.51343628518117
324.0,152.51343628518117
325.0,152.51343628518117
326.0,152.51343628518117
327.0,152.51343628518117
328.0,152.51343628518117
329.0,152.51343628518117
330.0,152.51343628518117
331.0,152.51343628518117
332.0,152.51343628518117
333.0,152.51343628518117
334.0,152.51343628518117
335.0,152.51343628518117
336.0,152.51343628518117
337.0,152.51343628518117
338.0,152.51343628518117
339.0,152.51343628518117
340.0,152.51343628518117
341.0,152.51343628518117
342.0,152.51343628518117
343.0,152.51343628518117
344.0,152.51343628518117
345.0,152.51343628518117
346.0,152.51343628518117
347.0,152.51343628518117
348.0,152.51343628518117
349.0,152.51343628518117
350.0,152.51343628518117
351.0,152.51343628518117
352.0,152.51343628518117
353.0,152.51343628518117
354.0,152.51343628518117
355.0,152.51343628518117
356.0,152.51343628518117
357.0,152.51343628518117
358.0,152.51343628518117
359.0,152.51343628518117
360.0,152.51343628518117
361.0,152.51343628518117
362.0,152.51343628518117
363.0,152.51343628518117
364.0,152.702794337189
365.0,152.702794337189
366.0,152.702794337189
367.0,152.702794337189
368.0,152.702794337189
369.0,152.702794337189
370.0,152.702794337189
371.0,152.702794337189
372.0,152.702794337189
373.0,152.702794337189
374.0,152.702794337189
375.0,152.702794337189
376.0,152.702794337189
377.0,152.702794337189
378.0,152.702794337189
379.0,152.702794337189
380.0,152.702794337189
381.0,152.702794337189
382.0,152.702794337189
383.0,152.702794337189
384.0,152.702794337189
385.0,152.702794337189
386.0,152.702794337189
387.0,152.702794337189
388.0,152.702794337189
389.0,152.702794337189
390.0,152.702794337189
391.0,152.702794337189
392.0,152.702794337189
393.0,152.98796946626936
394.0,152.98796946626936
395.0,152.98796946626936
396.0,152.98796946626936
397.0,157.74289951069358
398.0,157.74289951069358
399.0,157.74289951069358
400.0,135.4520402637433
401.0,157.06126158245578
402.0,157.06126158245578
403.0,157.06126158245578
404.0,157.06126158245578
405.0,157.06126158245578
406.0,157.06126158245578
407.0,157.06126158245578
408.0,157.06126158245578
409.0,157.06126158245578
410.0,157.06126158245578
