step,value
0.0,1.0608949661254883
1.0,1.0486118793487549
2.0,1.0415242910385132
3.0,1.0286223888397217
4.0,1.016457438468933
5.0,1.009604573249817
6.0,0.9994717240333557
7.0,0.9860532879829407
8.0,0.9682344794273376
9.0,0.9512106776237488
10.0,0.9311103820800781
11.0,0.9088225364685059
12.0,0.8833885788917542
13.0,0.8517657518386841
14.0,0.8215165138244629
15.0,0.7812005877494812
16.0,0.7278878092765808
17.0,0.6822785139083862
18.0,0.6322792172431946
19.0,0.6058810353279114
20.0,0.5389913320541382
21.0,0.5054571032524109
22.0,0.4624403715133667
23.0,0.4104270339012146
24.0,0.35480883717536926
25.0,0.3013235628604889
26.0,0.2520614564418793
27.0,0.20330746471881866
28.0,0.1577514111995697
29.0,0.11257845908403397
30.0,0.06495120376348495
31.0,0.014735453762114048
32.0,-0.04227985814213753
33.0,-0.10278664529323578
34.0,-0.1602887064218521
35.0,-0.21239174902439117
36.0,-0.2639252245426178
37.0,-0.32024085521698
38.0,-0.36768028140068054
39.0,-0.41223829984664917
40.0,-0.2551671862602234
41.0,-0.3165089190006256
42.0,-0.36541983485221863
43.0,-0.4103984236717224
44.0,-0.45002204179763794
45.0,-0.47822657227516174
46.0,-0.5118608474731445
47.0,-0.547386884689331
48.0,-0.5764804482460022
49.0,-0.6032235622406006
50.0,-0.6197515726089478
51.0,-0.6489658355712891
52.0,-0.6712902784347534
53.0,-0.7076560258865356
54.0,-0.7186279892921448
55.0,-0.7331722974777222
56.0,-0.7486690878868103
57.0,-0.7617918848991394
58.0,-0.7831331491470337
59.0,-0.7946873903274536
60.0,-0.4760196805000305
61.0,-0.459980309009552
62.0,-0.5495490431785583
63.0,-0.5651853680610657
64.0,-0.6213380098342896
65.0,-0.6437070369720459
66.0,-0.6486712098121643
67.0,-0.7031365633010864
68.0,-0.6829957365989685
69.0,-0.6740607619285583
70.0,-0.7259297966957092
71.0,-0.726651668548584
72.0,-0.743478000164032
73.0,-0.7364230155944824
74.0,-0.7470112442970276
75.0,-0.7589640021324158
76.0,-0.7726912498474121
77.0,-0.7725396156311035
78.0,-0.7906947135925293
79.0,-0.7982501983642578
80.0,-0.5538468956947327
81.0,-0.5831798315048218
82.0,-0.6553971767425537
83.0,-0.6753221154212952
84.0,-0.6968755125999451
85.0,-0.7466235756874084
86.0,-0.7222335934638977
87.0,-0.7359690070152283
88.0,-0.7363182902336121
89.0,-0.7524781823158264
90.0,-0.7544839382171631
91.0,-0.7779488563537598
92.0,-0.7749964594841003
93.0,-0.7860168218612671
94.0,-0.8039808869361877
95.0,-0.8227713108062744
96.0,-0.8116242289543152
97.0,-0.7949810028076172
98.0,-0.821333646774292
99.0,-0.8309616446495056
100.0,-0.7446368336677551
101.0,-0.7954522371292114
102.0,-0.8530566692352295
103.0,-0.8313193917274475
104.0,-0.8401597738265991
105.0,-0.8703796863555908
106.0,-0.8829073309898376
107.0,-0.9030545949935913
108.0,-0.9184982776641846
109.0,-0.9244686365127563
110.0,-0.949189305305481
111.0,-0.9407273530960083
112.0,-0.9316494464874268
113.0,-0.9595153331756592
114.0,-0.9660518169403076
115.0,-0.9524131417274475
116.0,-0.9829022884368896
117.0,-0.984440267086029
118.0,-0.9638203382492065
119.0,-0.9443755149841309
120.0,-0.8003415465354919
121.0,-0.5559988021850586
122.0,-0.7852127552032471
123.0,-0.7898862361907959
124.0,-0.8785704970359802
125.0,-0.8319540619850159
126.0,-0.8960708975791931
127.0,-0.8699101805686951
128.0,-0.9425965547561646
129.0,-0.927596390247345
130.0,-0.8831753730773926
131.0,-0.9590903520584106
132.0,-0.9404473900794983
133.0,-0.9321556687355042
134.0,-0.9533918499946594
135.0,-0.9628377556800842
136.0,-0.932045042514801
137.0,-0.944662868976593
138.0,-0.9499447345733643
139.0,-0.9952929615974426
140.0,-0.6816596984863281
141.0,-0.784162700176239
142.0,-0.6845007538795471
143.0,-0.8420032262802124
144.0,-0.9066059589385986
145.0,-0.9000502824783325
146.0,-0.9037598967552185
147.0,-0.9474958777427673
148.0,-0.9433649778366089
149.0,-0.8099246621131897
150.0,-0.8257409334182739
151.0,-0.9515349864959717
152.0,-0.93369060754776
153.0,-0.8607084155082703
154.0,-0.9292370676994324
155.0,-0.9475961923599243
156.0,-0.9594950079917908
157.0,-0.9485149383544922
158.0,-0.9413594603538513
159.0,-1.0444732904434204
160.0,-0.6176403760910034
161.0,-0.5597977042198181
162.0,-0.6531639695167542
163.0,-0.777044951915741
164.0,-0.7651814818382263
165.0,-0.7618218660354614
166.0,-0.7998894453048706
167.0,-0.8384516835212708
168.0,-0.7952346801757812
169.0,-0.8279158473014832
170.0,-0.8108947277069092
171.0,-0.8243018984794617
172.0,-0.8431448340415955
173.0,-0.8492469787597656
174.0,-0.852974534034729
175.0,-0.9012851119041443
176.0,-0.8792580366134644
177.0,-0.8838693499565125
178.0,-0.9203768968582153
179.0,-0.9238132834434509
180.0,-0.6180721521377563
181.0,-0.7769297361373901
182.0,-0.8218884468078613
183.0,-0.9488725066184998
184.0,-0.9935617446899414
185.0,-1.0067757368087769
186.0,-1.0663708448410034
187.0,-1.063442349433899
188.0,-1.065785527229309
189.0,-1.0870145559310913
190.0,-1.0774147510528564
191.0,-1.0810961723327637
192.0,-1.0824207067489624
193.0,-1.1157478094100952
194.0,-1.124342918395996
195.0,-1.1206458806991577
196.0,-1.1398605108261108
197.0,-1.1594069004058838
198.0,-1.171838402748108
199.0,-1.1702595949172974
200.0,-1.0507107973098755
201.0,-0.583810031414032
202.0,-0.4961557984352112
203.0,-0.974479079246521
204.0,-0.9390599727630615
205.0,-1.087170124053955
206.0,-0.9963027238845825
207.0,-1.1593523025512695
208.0,-1.096627950668335
209.0,-1.0835869312286377
210.0,-1.1324982643127441
211.0,-1.1857367753982544
212.0,-1.1509977579116821
213.0,-1.1420745849609375
214.0,-1.190125823020935
215.0,-1.1844407320022583
216.0,-1.2120109796524048
217.0,-1.2181979417800903
218.0,-1.2016549110412598
219.0,-1.2240511178970337
