step,value
0.0,-13.224644045921579
1.0,-13.224644045921579
2.0,-13.224644045921579
3.0,-10.799164787148364
4.0,-10.799164787148364
5.0,-10.799164787148364
6.0,-8.393552223612875
7.0,-8.074730229485409
8.0,-8.074730229485409
9.0,-8.074730229485409
10.0,-8.074730229485409
11.0,-8.074730229485409
12.0,-8.074730229485409
13.0,-8.074730229485409
14.0,-3.875669364903864
15.0,-3.875669364903864
16.0,-3.875669364903864
17.0,-3.7281345671353185
18.0,-3.7281345671353185
19.0,-3.7281345671353185
20.0,-1.4868292880401566
21.0,-1.4868292880401566
22.0,-1.4868292880401566
23.0,-1.4868292880401566
24.0,-1.4868292880401566
25.0,-1.4868292880401566
26.0,-1.4868292880401566
27.0,-1.4868292880401566
28.0,-0.20846550585348017
29.0,-0.20846550585348017
30.0,-0.20846550585348017
31.0,-0.20846550585348017
32.0,-0.20846550585348017
33.0,-0.20846550585348017
34.0,-0.20846550585348017
35.0,-0.20846550585348017
36.0,-0.20846550585348017
37.0,-0.20846550585348017
38.0,-0.20846550585348017
39.0,-0.20846550585348017
40.0,-0.20846550585348017
41.0,-0.20846550585348017
42.0,-0.20846550585348017
43.0,-0.20846550585348017
44.0,-0.20846550585348017
45.0,-0.20846550585348017
46.0,-0.20846550585348017
47.0,-0.20846550585348017
48.0,-0.20846550585348017
49.0,-0.20846550585348017
50.0,-0.20846550585348017
51.0,-0.20846550585348017
52.0,-0.20846550585348017
53.0,-0.20846550585348017
54.0,-0.20846550585348017
55.0,-0.20846550585348017
56.0,-0.20846550585348017
57.0,-0.20846550585348017
58.0,-0.20846550585348017
59.0,-0.20846550585348017
60.0,-0.20846550585348017
61.0,-0.20846550585348017
62.0,-0.20846550585348017
63.0,-0.20846550585348017
64.0,-0.20846550585348017
65.0,-0.20846550585348017
66.0,-0.20846550585348017
67.0,-0.20846550585348017
68.0,4.134723854072554
69.0,10.209018118573868
70.0,10.209018118573868
71.0,10.209018118573868
72.0,10.209018118573868
73.0,10.209018118573868
74.0,10.209018118573868
75.0,10.209018118573868
76.0,10.209018118573868
77.0,10.209018118573868
78.0,10.209018118573868
79.0,10.209018118573868
80.0,10.209018118573868
81.0,10.209018118573868
82.0,10.209018118573868
83.0,10.209018118573868
84.0,10.209018118573868
85.0,10.209018118573868
86.0,10.209018118573868
87.0,10.209018118573868
88.0,10.209018118573868
89.0,10.209018118573868
90.0,10.209018118573868
91.0,10.209018118573868
92.0,10.209018118573868
93.0,10.209018118573868
94.0,10.209018118573868
95.0,10.209018118573868
96.0,10.209018118573868
97.0,10.209018118573868
98.0,10.209018118573868
99.0,10.209018118573868
100.0,-7.011104972340001
101.0,-7.011104972340001
102.0,-7.011104972340001
103.0,-5.718780949890824
104.0,-5.718780949890824
105.0,-5.718780949890824
106.0,-5.029347823545628
107.0,-5.029347823545628
108.0,-4.461631362581549
109.0,-4.461631362581549
110.0,-4.461631362581549
111.0,9.507204879507723
112.0,9.507204879507723
113.0,9.507204879507723
114.0,9.507204879507723
115.0,9.507204879507723
116.0,9.507204879507723
117.0,9.507204879507723
118.0,28.12334115151818
119.0,28.12334115151818
120.0,28.12334115151818
121.0,28.12334115151818
122.0,28.12334115151818
123.0,28.12334115151818
124.0,28.12334115151818
125.0,28.12334115151818
126.0,28.12334115151818
127.0,28.12334115151818
128.0,28.12334115151818
129.0,28.12334115151818
130.0,28.12334115151818
131.0,28.12334115151818
132.0,28.12334115151818
133.0,28.12334115151818
134.0,28.12334115151818
135.0,28.12334115151818
136.0,28.12334115151818
137.0,28.12334115151818
138.0,28.12334115151818
139.0,28.12334115151818
140.0,28.12334115151818
141.0,28.12334115151818
142.0,28.12334115151818
